Application,,,
,AAA,,
,,AAA Subscriber,
,,ERX AAA Service,
,,Mobile Wireless AAA,
,Application Optimization,,
,,Application Optimization,
,ASP NET,,
,,Client Access ASP Net Table,
,DHCP,,
,,DHCP,
,,Network Svcs DHCP NT App Service,
,DNS,,
,,DNS,
,,DNS Zone,
,HA Services,,
,,Cluster,
,,Cluster Replication,
,,High Availability Service,
,,MSCS Cluster,
,,MSCS Network Interface,
,,MSCS Node,
,Mail Services,,
,,MS Exchange,
,,,MS Exchange AD Hub Trans DB Inst
,,,MS Exchange AD Hub Trans Performance
,,,MS Exchange AD Hub Transport Extensibility Agent
,,,MS Exchange AD Logical Disk
,,,MS Exchange AD Mailbox Access Cache
,,,MS Exchange AD Mailbox Access Process
,,,MS Exchange AD Mailbox Assist Agent
,,,MS Exchange AD Mailbox Database
,,,MS Exchange AD Mailbox Database Instance
,,,MS Exchange AD Mailbox Domain Controller
,,,MS Exchange AD Mailbox IS Client
,,,MS Exchange AD Mailbox is Mailbox
,,,MS Exchange AD Mailbox Mail Submission
,,,MS Exchange AD Mailbox Performance
,,,MS Exchange AD Mailbox Replica Seeder
,,,MS Exchange AD Mailbox Replication
,,,MS Exchange AD Mailbox Search Indices
,,,MS Exchange AD Mailbox Store Interface
,,,MS Exchange AD NTDS Performance
,,,MS Exchange AD Physical Disk
,,,MS Exchange AD Process
,,,MS Exchange Clnt acc ActiveSync
,,,MS Exchange Clnt acc Address Book
,,,MS Exchange Clnt acc Availability Service
,,,MS Exchange Clnt acc Control Panel
,,,MS Exchange Clnt acc Offline Address Book
,,,MS Exchange Clnt acc RPC Client Access
,,,MS Exchange Clnt acc RPC Http Proxy
,,Outlook,
,,,Client Access OWA Table
,Security,,
,,Anti-Virus Info,
,System Application,,
,,System Applications,
,,License Management,
,Unified Communications,,
,,Unity App,
,Databases,,
,,Generic,
,,,Database
,Web Server,,
,,Web App Server,
Circuits and Signalling,,,
,ATM,,
,ATM VC QoS,,
,DS0 Interface,,
,DS1 Interface,,
,DS3 Interface,,
,Frame Relay,,
,,Frame Relay Info,
,ISDN Link,,
,SONET/SDH,,
,,SONET/SDH Line,
,,SONET/SDH Path,
,,SONET/SDH Section,
,T1/E1 Trunk,,
CPU,,,
,Alternate CPU,,
,Alternate CPU 1,,
,CPU,,
,CPU Controller,,
Chassis,,,
,Controller Enclosure,,
,Module,,
,Expander,,
Converge Infrastructure Device,,,
,Blade Center,,
,,Cisco UCS,
,,,Blade Controller
,,,Cisco UCS Blade
,,,Cisco UCS Blade CPU
,,,Cisco UCS Blade Interface
,,,Cisco UCS Blade Interface Total
,,,Cisco UCS Chassis
,,,Cisco UCS Blade Memory Module
,,,Cisco UCS Chassis Fan
,,,Cisco UCS Chassis Interface Total
,,,Cisco UCS Chassis Power Supply
,,,Cisco UCS Switch
,,,Cisco UCS Switch Fan
,,,Cisco UCS Switch Interface
,,,Cisco UCS Switch Interface Total
,,,Cisco UCS Switch Power Supply
Environmental Sensors,,,
,Cooling,,
,,Environmental Sensor - AirFlow,
,Fan,,
,,Fan,
,Humidity,,
,,Environmental Sensor - Humidity,
,Optical Power,,
,,Environmental Sensor - Optical Power,
,Power,,
,,Battery,
,,Environmental Sensor - Electric Current,
,,Environmental Sensor - Frequency,
,,Environmental Sensor - Power Supply Alternate,
,,Environmental Sensor - VoltageAC,
,,Environmental Sensor - VoltageDC,
